seq_len,torch,triton,torch_bwd,triton_bwd
128.0,0.6,1.7,2.4,2.5
256.0,1.0,3.3,4.4,4.3
512.0,2.0,6.6,8.4,7.9
1024.0,3.7,13.2,16.5,15.0
2048.0,8.0,26.3,33.4,30.0
4096.0,16.5,52.7,68.5,60.0
8192.0,33.0,105.3,137.4,119.7
16384.0,65.8,210.5,274.7,239.4
32768.0,131.4,421.0,0.0,0.0
65536.0,0.0,841.9,0.0,0.0
